0;0;0
0;1;1
0;2;2
0;3;3
0;4;4
0;5;5
0;6;6
0;7;7
0;8;8
0;9;9
0;10;10
0;11;11
0;12;12
0;13;13
0;14;14
0;15;15
0;16;16
0;17;17
0;18;18
0;19;19
0;20;20
0;21;21
0;22;22
0;23;23
0;24;24
0;25;25
0;26;26
0;27;27
0;28;28
0;29;29
0;30;30
1;0;1
1;1;1.41
1;2;2.24
1;3;3.16
1;4;4.12
1;5;5.1
1;6;6.08
1;7;7.07
1;8;8.06
1;9;9.06
1;10;10.05
1;11;11.05
1;12;12.04
1;13;13.04
1;14;14.04
1;15;15.03
1;16;16.03
1;17;17.03
1;18;18.03
1;19;19.03
1;20;20.02
1;21;21.02
1;22;22.02
1;23;23.02
1;24;24.02
1;25;25.02
1;26;26.02
1;27;27.02
1;28;28.02
1;29;29.02
1;30;30.02
2;0;2
2;1;2.24
2;2;2.83
2;3;3.61
2;4;4.47
2;5;5.39
2;6;6.32
2;7;7.28
2;8;8.25
2;9;9.22
2;10;10.2
2;11;11.18
2;12;12.17
2;13;13.15
2;14;14.14
2;15;15.13
2;16;16.12
2;17;17.12
2;18;18.11
2;19;19.1
2;20;20.1
2;21;21.1
2;22;22.09
2;23;23.09
2;24;24.08
2;25;25.08
2;26;26.08
2;27;27.07
2;28;28.07
2;29;29.07
2;30;30.07
3;0;3
3;1;3.16
3;2;3.61
3;3;4.24
3;4;5
3;5;5.83
3;6;6.71
3;7;7.62
3;8;8.54
3;9;9.49
3;10;10.44
3;11;11.4
3;12;12.37
3;13;13.34
3;14;14.32
3;15;15.3
3;16;16.28
3;17;17.26
3;18;18.25
3;19;19.24
3;20;20.22
3;21;21.21
3;22;22.2
3;23;23.19
3;24;24.19
3;25;25.18
3;26;26.17
3;27;27.17
3;28;28.16
3;29;29.15
3;30;30.15
4;0;4
4;1;4.12
4;2;4.47
4;3;5
4;4;5.66
4;5;6.4
4;6;7.21
4;7;8.06
4;8;8.94
4;9;9.85
4;10;10.77
4;11;11.7
4;12;12.65
4;13;13.6
4;14;14.56
4;15;15.52
4;16;16.49
4;17;17.46
4;18;18.44
4;19;19.42
4;20;20.4
4;21;21.38
4;22;22.36
4;23;23.35
4;24;24.33
